Title,Company,Location,Pay,Description
['Data Analyst'],[],['Melbourne'],[],"['<div data-automation=""mobileTemplate"" class=""_2e4Pi2B""><p><strong>About the business</strong></p> <p> </p><p>CSBA is a Melbourne based customer experience consultancy. Our clients use our expertise to understand their customer\xa0expectations and CSBA works with them to ensure they have the\xa0people and processes in place to exceed those expectations.</p> <p> </p><p><strong>About the role</strong></p> <p> </p><p>CSBA is seeking a Data\xa0Analyst to support the research team with a core need to provide technical support across all facets of Market Research. The role requires excellent Excel skills with any other data processing tool\xa0experience viewed positively. In addition to this, the ability to manage the technical aspects of research projects as well as develop online dashboard reporting makes this role a fully rounded one.</p> <p><strong>Key Responsibilities include:</strong></p> <ul><li>Developing and building online dashboards in Dapresy</li><li>Managing survey projects in Unicom Intelligence (IBM Dimensions)</li><li>Cleaning and processing of survey samples or lists provided by clients</li><li>Implementing quality controls to ensure sample is cleaned and loaded correctly</li><li>Where possible automating key parts of the process</li><li>The uploading of sample and the distribution of online invitations &amp; reminders</li><li>Support field team and researchers with quota monitoring, data validation and general data management for syndicated studies.</li><li>Assist with the testing of all surveys to ensure output is as expected</li></ul> <p>The role requires a technically-adept person who is detail-oriented and process-driven. The team uses a range of systems and the opportunity exists to learn a range of new skills within the organisation.</p> <p> </p><p><strong>Benefits and perks</strong></p> <p> </p><p>We value diversity and we work hard to ensure employees have a great work life balance.</p> <p>CSBA operates a flexible family friendly work environment.\xa0All staff can work from home. Start and end times are also flexible to meet employee needs.\xa0</p> <p>Our office is located just a short 5-minute\xa0walk from Flinders Street Station in the heart of the city.</p> <p> </p><p><strong>Skills and experience</strong></p> <p> </p><p><strong>To be successful in this role you will have:</strong></p> <ul><li>Advanced Excel skills (VBA)</li><li>Experienced developer of online dashboards (Experience with Dapresy would be viewed positively)</li><li>Demonstrated experience using Python and/or R for data cleaning/prep</li><li>Knowledge of\xa0HTML5, HTML/CSS/JavaScript</li><li>An orientation for detail with a focus on deliverables and precision.</li><li>Ability to work as a team player.</li><li>A focus on continuous improvement is essential.</li><li>Enthusiasm and passion for success.</li></ul> <p></p></div>']"
['Order Entry Specialist'],['RYCO Hydraulics'],['Melbourne'],[],"['<div data-automation=""mobileTemplate"" class=""_2e4Pi2B""><p>RYCO Hydraulics is\xa0an Australian owned company that manufactures quality hydraulic hose, couplings and adaptors. The Company, founded in 1946, is now a global operation within\xa0Australia,\xa0New Zealand, USA, China, Malaysia and South Africa.</p> <p>We have an excellent opportunity for an experienced data\xa0entry professional\xa0to join our company for an immediate start. This role is casual ,\xa0with future potential for\xa0permanent\xa0employment.</p> <p>\xa0</p> <p><strong>Roles and Responsibilities include:</strong></p> <ul> <li>Data entry and processing of dockets, orders and invoicing in an accurate and timely manner</li> <li>Provide branch administration support where necessary</li> <li>Liaise with\xa0internal customers to ensure all inquiries are resolved in an accurate and timely manner</li> <li>Liaise with credit department to ensure orders on credit hold are checked before release</li> <li>Process pricing credits in an accurate and timely manner</li></ul> <p>\xa0</p> <p><strong>You will have:</strong></p> <ul> <li>2-4\xa0years experience in administration/data entry</li> <li>Experience working with ERP systems</li> <li>Medium to high technical aptitude</li> <li>Excellent attention to detail\xa0</li> <li>Good knowledge of MS Office Suite</li> <li>Excellent organisational skills</li> <li>Knowledge of the hydraulic hose and fitting industry is preferred and would be a distinct advantage</li></ul> <p>\xa0</p> <p>Express your interest by clicking the \'Apply Now\' button.</p> <p>\xa0</p> <p>Please note that agency applications will not be accepted.</p> <p>\xa0</p> <p>\xa0</p></div>']"
['Senior BI Developer'],['Ensure Recruitment - Seek Award Winner - Best Small Specialist'],['Melbourne'],[],"['<div data-automation=""mobileTemplate"" class=""_2e4Pi2B""><br>Our client is looking for someone who has built, developed, managed and supported a BI solution within a MS SQL Server 2017 BI Stack environment.\xa0 You\xa0 will be working in a collaborative environment with a diverse range of stakeholders.\xa0 This is an exciting role supporting an analytics platform.<br><br><strong>What you will need:<br></strong><br> <ul> <li>Collaborated with diverse stakeholders and team members to deliver complex technical application programs in agile environments</li> <li>Built, developed, managed and supported a BI solution using best practices within a Microsoft SQL Server 2017 BI Stack</li> <li>Experience in developing within various data modelling techniques, i.e. Kimball, Inmon, Datavault</li> <li>Experience in developing a BI solution end to end, i.e. data ingestion from multiple source systems, data transformation, to report design and delivery</li> <li>Experience in implementing data security at all level, i.e. inflight and at rest data encryption, access control (data and reports)</li> <li>Strong knowledge and experience in Microsoft SQL Server 2017 database architecture, performance tuning and various features</li> <li>Experience working in environments that follow DevOps principles and good working knowledge and experience in tools such as</li> <li>Bamboo, Chef, Puppet, CI/CD tooling and modern source code management systems.</li> </ul> If the above sounds like you and you are looking for an opportunity to join a team that is constantly growing and further develop, then this is the position for you.\xa0 This is a unique opportunity where you will thrive working in this agile environment.\xa0 If the above sounds like you please click APPLY NOW as this role won\'t be around for long!</div>']"
['Data Entry'],['Hays Office Support'],['Melbourne'],[],"['<div data-automation=""mobileTemplate"" class=""_2e4Pi2B""><p>A long term temporary Data Entry role in the Western suburbs of Melbourne, offering a generous hourly rate<br> <br> <strong>Your new company</strong><br> One of Australia\'s leading Engineering companies is looking for a confident Data Entry specialist to jump on board and help to support their Administration team. As the new Administrator you will be working with colleagues who are friendly, supportive and collaborative. Your office is located in the western suburbs of Melbourne . This is a temporary assignment offering an immediate start.<br> <br> <br> <strong>Your new role</strong><br> In this role you will be responsible for high volume data processing within the Administration team. You will be:<br> </p><ul><li>Inputting Data from a manual form into the companies SAP system</li><li>Working alongside a team to confidently and accurately update a national system</li></ul><p><br> <br> <strong>What you\'ll need to succeed</strong><br> Previous Data Entry experience in a fast paced environment will be highly regarded.<br> <br> You will need to be a fast learner in order to pick up internal system software. The ability to work efficiently through time management and organisation skills is key due to the volume of corrections needed to be made. You will possess strong initiative and the need to be confidential as you will be dealing with sensitive information.<br> <br> To be successful in this role you will have a strong attention to detail and be able to juggle multiple deadlines at once. A skills test will be required prior to interview so that we can see where your accuracy and speed sits.<br> <br> <strong>What you\'ll get in return</strong><br> This is a fantastic temporary opportunity within a supportive team. The organisation has a strong reputation for giving back to their employees and promoting a happy working environment.<br> <br> <br> <strong>What you need to do now</strong><br> If you\'re interested in this role, click \'apply now\' to forward an up to date CV to the proffered Consultant.<br> If this job isn\'t quite right for you but you are looking for a new position, please contact us for a confidential discussion on your career.</p></div>']"
['Data Analyst'],['GOW Recruitment'],['Melbourne'],[],"['<div data-automation=""mobileTemplate"" class=""_2e4Pi2B""><div>Our client is an ambitious and new player in the utilities space; and with the energy industry booming it’s an exciting space to be in. They are gaining market share by providing low-priced electricity. HQ based in Victoria, with growth nationally, there is an opportunity for a Data Analyst.<br><br>Working closely with the Head of Technology and the greater IT team you will work a varied role across the business:<br> <ul> <li>Credit Mgt. project, analysis of data, determination of trends</li> <li>Make recommendations and proposals</li> <li>Analysis and strategy for bad debt and collections project\xa0</li> <li>Customer retention and revenue project</li> <li>Analysis of sales leads and channels</li> <li>Product analysis and evaluation</li> <li>Working with the Data Science Team on new data models</li> </ul> Experience required:<br> <ul> <li>Strong experience as a Data Analyst</li> <li>A tertiary qualification in IT, Mathematics or a related discipline</li> <li>Strong SQL skills with ETL experience</li> <li>Experience in utilities or credit Mgt. or finance (essential)</li> <li>Excellent written and verbal communication skills\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0</li> <li>Strong stakeholder management skills</li> <li>The curiosity and flexibility to learn a broad range of technologies</li> </ul> The company has a start-up feel, is dynamic and fun and you will have a voice that will be heard. Apply with tailored resume. I will personally get back to identified candidates week beginning 6th May (not before).</div></div>']"
['Victorian Cardiac Arrest Registry (VACAR) Data Processor'],['Ambulance Victoria'],['Melbourne'],[],"['<div data-automation=""mobileTemplate"" class=""_2e4Pi2B""><p>An exciting opportunity has arisen for a VACAR Data Processor within the Centre for Research &amp; Evaluation based at our Blackburn North Headquarters. If you are looking for a diverse position that allows you to contribute to Ambulance Victoria\'s (AV) strategic direction and process improvement whilst applying your strong communication skills? Then look no further!</p>\n<p>AV is seeking a motivated and passionate team member to assist with accurate and timely processing, and quality control of data for the VACAR database. \xa0The role also supports reporting from VACAR to the Steering Committee and Executive within required timeframes. This position is a full time, 12 month fixed term opportunity.</p>\n<p>\xa0</p>\n<p><strong>About the role</strong></p>\n<p>Reporting to the Senior Research Fellow (VACAR), the responsibilities of this position will include, but are not limited to:</p>\n<ul>\n<li>Check AV electronic Patient Care Records for accuracy and completeness and confirm for entry into VACAR</li>\n<li>Process data into VACAR</li>\n<li>Assist with the generation of data queries, data reports, data manipulation and retrieval of data for reporting from VACAR as required</li>\n<li>Quality control, including audits, of VACAR data to ensure accurate and complete data is available for reporting purposes</li>\n<li>Develop close working relationships with relevant business units, ensuring business unit needs and requirements are understood and met</li>\n</ul>\n<p>\xa0</p>\n<p><strong>About you</strong></p>\n<p>To be considered for this position, a clinical qualification such as Nursing or Health Science is desirable as is experience with processing of health data. We are looking for someone with experience and/or passion about improving patient outcomes, using data to drive improvements and team work.</p>\n<p>\xa0</p>\n<p><strong>What\'s in it for you?</strong></p>\n<p>As a valued member of AV you will enjoy a professional working environment that recognises the importance of work/life balance.\xa0 We offer salary packaging options, generous personal leave entitlements, accrued days off (ADO\'s) and also free on-site parking is available.</p>\n<p>We believe our people are our greatest resource and the sustainability of our workforce depends on how well we utilise our people\'s skills and abilities.\xa0 If you\'re ready to play an integral role and deliver results that help make a real difference, we want to hear from you!</p>\n<p>\xa0</p>\n<p><strong>How to apply?</strong></p>\n<p>Your application will form an integral part of the selection process and should include the following documents:</p>\n<ul>\n<li>A covering letter</li>\n<li>A resume</li>\n<li>A separate document addressing the Key Selection Criteria (located on page 2 of the PD).</li>\n</ul>\n<p>For any queries, please email Brooke Candotti (Recruitment &amp; Selection Advisor) at <em><a class=""Ne1m3o8"" data-contact-match=""true"" href=""mailto:recruitment@ambulance.vic.gov.au"">recruitment@ambulance.vic.gov.au</a>.</em></p>\n<p><strong>Applications close: 5pm Sunday 26 May 2019.</strong></p>\n<p>Please ensure you submit your application and do not miss this opportunity by clicking on ‘apply online\'.</p>\n<p>\xa0</p>\n<p><em>- Our diverse and inclusive workforce allows us to deliver the Best Care to the Victorian community, and helps create a healthier, more productive workplace for our people.\xa0\xa0\xa0\xa0\xa0 </em></p>\n<p><em>- Successful applicants will be required to complete a background check</em></p>\n<p><em>- Applications must be submitted via the AV Careers Centre to be considered (applications via SEEK etc. will not be considered)</em></p>\n<p><em>\xa0</em></p></div>']"
['Data Analyst'],['Randstad - Technologies'],['Melbourne'],[],"['<div data-automation=""mobileTemplate"" class=""_2e4Pi2B""><p>Data Analyst</p><ul><li>Work for a Victorian Government agency</li><li>Melbourne CBD location</li><li>Minimum 3 month contract, ASAP start</li></ul><p>This government agency responsible for providing assurance and reporting to the public sector are currently in need of an experienced Data Analyst to join their team ASAP with an opportunity for the role to become permanent for the right candidate.</p><p><strong>The role</strong></p><ul><li>Collaborate and work with a team of 6</li><li>Play a critical role in the delivery of data analytics output</li><li>Transform and analyse data as per business requests and needs</li><li>Assist in the overall development of data analytics deliverables</li></ul><p><strong> Who would this role suit?</strong></p><p>Someone who is experienced in analysing, designing, developing and building data analytics outputs. You will have a minimum of 2 years experience in a similar role and have a solution focused attitude and passion for what you do.</p><p><strong>What technology experience is needed?</strong></p><ul><li>Javascript essential</li><li>SQL essential</li><li>Python, R Studio desired but not essential</li></ul><p>This is a minimum 3 month contract with an ASAP start for the right candidate, this could also open the doors for someone to step into a permanent role down the track.</p><p> </p><p>At Randstad, we are passionate about providing equal employment opportunities and embracing diversity to the benefit of all. We actively encourage applications from any background.</p></div>']"
['Data Engineer- 6 Month Contract'],['Fonterra Co-operative Group Ltd'],['Melbourne'],[],"['<div data-automation=""mobileTemplate"" class=""_2e4Pi2B""><ul> <li>Ignite your curiosity and passion for data engineering, analytics and new technologies</li> <li>Innovate and break new ground for a global market leader</li> <li>Work collaboratively from modern and open office spaces in an agile and dynamic fashion</li></ul> <p><strong>Love all things data.\xa0\xa0Want to develop great ways of working?\xa0\xa0Read on….</strong></p> <p>Progress your personal learning and development working with a high-performing team, applying cutting-edge technology and engaging with a data driven team and bring about great data analytics.\xa0\xa0</p> <p>Joining this team, you’ll work as part of a cutting-edge community who are passionate and proud of what they do to help propel us forward, deliver innovation and build advanced capabilities. Work flexibly and collaboratively to solve the most valuable problems, with a deliberate plan for success.</p> <p><strong>Your opportunity:</strong></p> <p>You’ll be working in a growing analytics community alongside other experienced data engineers to collectively solve complex business challenges. Using your advanced ability in problem solving you’ll liaise with cross-functional teams across our business to leverage data to create significant impact for multiple business units.</p> <p>You will be responsible for ingesting data from various sources, ETL pipelines and melding datasets.</p> <p><strong>What you’ll bring and develop:</strong></p> <p>A detail orientated problem solver, you have a knack for implementing intricate but robust data ingestion frameworks while helping senior stakeholders further understand and develop their data assets. You have experience in developing and designing databases, ingesting data from multiple sources, data warehousing and ETL processes ideally within an analytics environment. Other skills, experience and attributes include:</p> <ul> <li>A degree in Computer Science, Applied Statistics, Mathematics, Engineering Science and/or relevant experience</li> <li>Experience working with data platforms on the AWS cloud</li> <li>Experience working with AWS Services such as LAMBDA, GLUE and REDSHIFT as a minimum.</li> <li>Proficient programming in SQL and experience in R, Python, Scala, Java\xa0 is highly regarded</li> <li>Excellent problem solving skills, lateral thinking and ability to work under deadline pressure</li> <li>Deep understanding of how to build sustainable data &amp; modelling frameworks</li></ul> <p>Apply today.</p></div>']"
['Office Assistant/Data entry'],['Advanced Sheet Metal'],['Melbourne'],[],"['<div data-automation=""mobileTemplate"" class=""_2e4Pi2B""><p><strong>About the business and the role</strong></p> <p> </p><p>Advanced Sheet Metal is one of the leading providers of roofing and ventilation products, rainwater\xa0and general sheet metal goods. We need an office assistant who can perform a range of administrative tasks to join our team. Hours are approx 9:30- 3:00\xa0over 3 days a week.\xa0 (15 to 20\xa0hours per week)</p> <p> </p><p><strong>Job tasks and responsibilities</strong></p> <p></p><ul><li>Data entry</li><li>Entering orders</li><li>Customer service/phone</li><li>Preparing invoices</li><li>Basic office duties</li></ul> <p> </p><p><strong>Skills and experience</strong></p> <p></p><ul><li>Experience in a similar role.</li><li>Experience with MYOB or similar.</li><li>Moderate skills in Excel and Word</li><li>Excellent interpersonal skills</li></ul> <p> </p><p><strong>To apply</strong></p> <p> </p><p>Please apply below stating work history, experience and\xa0 any qualifications.\xa0 \xa0A commensurate hourly rate will be offered.</p> <p></p></div>']"
['Technical Business Analyst/ Data Analyst'],['GMT People'],['Melbourne'],[],"['<div data-automation=""mobileTemplate"" class=""_2e4Pi2B""><p>Our client is a well-known and prestigious University currently seeking a <strong>Technical Business Analyst/ Data Analyst</strong> to work on a Research Business Solution project.</p>\r<p><strong>The ideal candidate will have:</strong></p>\r<p>• Strong senior stakeholder management with excellent written/verbal communications<br>• Experience in liaising with technical staff to provide value to business clients<br>• Familiarity with data models, data migration, and integration<br>• Strong requirements analysis/elicitation/specification and workshop facilitation experience<br>• 5+ years’ experience in similar roles</p>\r<p>For further details, please contact:</p>\r<p>Chris or the GMT People team on <a class=""_2ZKuACf"" data-contact-match=""true"" href=""tel:03%208613%209999"">03 8613 9999</a></p>\r<p>Please Note: Only suitable applicants will be contacted.</p></div>']"
['Data Analyst'],['Randstad - Technologies'],['Melbourne'],[],"['<div data-automation=""mobileTemplate"" class=""_2e4Pi2B""><p>Data Analyst</p><ul><li>Work for a Victorian Government agency</li><li>Melbourne CBD location</li><li>Minimum 3 month contract, ASAP start</li></ul><p>This government agency responsible for providing assurance and reporting to the public sector are currently in need of an experienced Data Analyst to join their team ASAP with an opportunity for the role to become permanent for the right candidate.</p><p><strong>The role</strong></p><ul><li>Collaborate and work with a team of 6</li><li>Play a critical role in the delivery of data analytics output</li><li>Transform and analyse data as per business requests and needs</li><li>Assist in the overall development of data analytics deliverables</li></ul><p><strong> Who would this role suit?</strong></p><p>Someone who is experienced in analysing, designing, developing and building data analytics outputs. You will have a minimum of 2 years experience in a similar role and have a solution focused attitude and passion for what you do.</p><p><strong>What technology experience is needed?</strong></p><ul><li>Javascript essential</li><li>SQL essential</li><li>Python, R Studio desired but not essential</li></ul><p>This is a minimum 3 month contract with an ASAP start for the right candidate, this could also open the doors for someone to step into a permanent role down the track.</p><p> </p><p>At Randstad, we are passionate about providing equal employment opportunities and embracing diversity to the benefit of all. We actively encourage applications from any background.</p></div>']"
['Data Engineer- 6 Month Contract'],['Fonterra Co-operative Group Ltd'],['Melbourne'],[],"['<div data-automation=""mobileTemplate"" class=""_2e4Pi2B""><ul> <li>Ignite your curiosity and passion for data engineering, analytics and new technologies</li> <li>Innovate and break new ground for a global market leader</li> <li>Work collaboratively from modern and open office spaces in an agile and dynamic fashion</li></ul> <p><strong>Love all things data.\xa0\xa0Want to develop great ways of working?\xa0\xa0Read on….</strong></p> <p>Progress your personal learning and development working with a high-performing team, applying cutting-edge technology and engaging with a data driven team and bring about great data analytics.\xa0\xa0</p> <p>Joining this team, you’ll work as part of a cutting-edge community who are passionate and proud of what they do to help propel us forward, deliver innovation and build advanced capabilities. Work flexibly and collaboratively to solve the most valuable problems, with a deliberate plan for success.</p> <p><strong>Your opportunity:</strong></p> <p>You’ll be working in a growing analytics community alongside other experienced data engineers to collectively solve complex business challenges. Using your advanced ability in problem solving you’ll liaise with cross-functional teams across our business to leverage data to create significant impact for multiple business units.</p> <p>You will be responsible for ingesting data from various sources, ETL pipelines and melding datasets.</p> <p><strong>What you’ll bring and develop:</strong></p> <p>A detail orientated problem solver, you have a knack for implementing intricate but robust data ingestion frameworks while helping senior stakeholders further understand and develop their data assets. You have experience in developing and designing databases, ingesting data from multiple sources, data warehousing and ETL processes ideally within an analytics environment. Other skills, experience and attributes include:</p> <ul> <li>A degree in Computer Science, Applied Statistics, Mathematics, Engineering Science and/or relevant experience</li> <li>Experience working with data platforms on the AWS cloud</li> <li>Experience working with AWS Services such as LAMBDA, GLUE and REDSHIFT as a minimum.</li> <li>Proficient programming in SQL and experience in R, Python, Scala, Java\xa0 is highly regarded</li> <li>Excellent problem solving skills, lateral thinking and ability to work under deadline pressure</li> <li>Deep understanding of how to build sustainable data &amp; modelling frameworks</li></ul> <p>Apply today.</p></div>']"
['National Pricing Analyst'],['Ocean Network Express (Australia) Pty Ltd'],['Melbourne'],[],"['<div data-automation=""mobileTemplate"" class=""_2e4Pi2B""><p><strong>About the business</strong></p> <p> </p><p>Ocean Network Express (ONE) is a Japanese global shipping company, established by the integration of the containerized divisions of the shipping businesses of MOL, K-Line, and NYK.</p> <p>As a result of the integration, ONE\'s fleet size will be 1,440,000 TEU, which is the 6th largest in the world. Our international container shipping operations will be performed through a fleet of 240 vessels.\xa0</p> <p> </p><p><strong>About the role</strong></p> <p> </p><p>Reporting to Liner Trade Manager, this position will be responsible for efficient and accurate support for the Customer and Sales team.</p> <p>Primary Job Responsibilities</p> <ul><li>Pricing for Australia to Asia service</li><li>Completion of tenders, including: - pricing for Australia to Asia lanes</li><li>Inputting freight rate, additional and service information in line with tender requirement</li><li>Consolidate pricing inputs from other trades if required</li><li>Return completed tender to sender before the deadline</li><li>Completion of regular and ad hoc trade and commercial reports</li><li>Daily interaction with internal commercial stakeholders</li><li>Maintain relevant costing templates and database with accurate information.</li><li>Back-up for other trade and commercial activities as required</li></ul> <p> </p><p><strong>Skills and experience</strong></p> <p></p><ul><li>Shipping Experience is highly preferred</li><li>Display sound business and relevant industry knowledge</li><li>Excellent verbal and written communication skills</li><li>Advanced Microsoft Word, Excel and Access skill with a good handle on large set of data</li><li>Experience within a fast paced and demanding business environment</li></ul> <p></p></div>']"
['Associate FIX Analyst'],['GRANITE CONSULTING'],['Melbourne'],[],"['<div data-automation=""mobileTemplate"" class=""_2e4Pi2B"">Our client is a global fintech organisation who are undergoing an unprecedented period of growth.\xa0They are looking to bring on an Associate FIX Analyst responsible for implementing, testing, certifying and problem/support resolution for\xa0clients.<br> <br> <strong>Responsibilities:</strong><br> <ul> <li>Coordinate with Clients, internal teams, and network vendor(s) to provide the following service-related functions: support/troubleshooting, configuring/customising FIX connections, testing and certification of FIX compatibility with brokers</li> <li>Follow departmental procedures to ensure timely, high quality delivery of service</li> <li>Ensure all Network Services database information and documentation is accurate and current.</li> <li>Escalate complex issues to senior staff.</li> </ul> <br><strong>Requirements:</strong><br> <ul> <li>Proven ability to work in mission critical operations and support environment.</li> <li>General knowledge and understanding of Wide Area Networks (WAN) and Local Area Networks (LAN).</li> <li>Ability to partner with various internal departments to deliver superior customer service.</li> <li>Periodic off-hours support.</li> <li>Occasional travel to customer sites to perform on site customisation, testing, or troubleshooting.</li> <li>1 year experience with FIX administration and support and/or Buy Side Order Management Software or background in portfolio management and trading system applications.</li> <li>3 years’ experience in the securities trading industry preferred.</li> <li>Excellent customer service skills, attention to detail, and interpersonal, verbal, and written communication</li> <li>Database software experience</li> </ul></div>']"
['Business Reporting Analyst'],['Specsavers'],['Melbourne'],['Bonus + Onsite Parking + 2 Free Pairs of Glasses'],"['<div data-automation=""mobileTemplate"" class=""_2e4Pi2B""><p><strong>About Us</strong><br> Specsavers is a multi-award-winning optometry, audiology and optical retail business with more than 375 stores across Australia and New Zealand and an active customer base of more than six million people.\xa0</p> <p>We are strongly focused on providing the highest level of optometry and dispensing care with a clear mission to transform eye health in Australia and New Zealand. Having now launched Specsavers Audiology too in Australia, we are at the forefront of leading, shaping and defining the future of the optical and audiology professions.</p> <p> </p><p><strong>The Role</strong><br> Due to growth within the business, we are currently seeking an Business Reporting Analyst to join our thriving Finance team in Port Melbourne. In this role, you’ll play an important part in enhancing the delivery of performance information through the development, production and distribution of standard business reports and analyses. You’ll oversee data quality, integrity and content of underlying reporting databases to ensure future reporting capability continues to remain at a high standard. Most significantly, you will partner with the IT department to assist the business and your team with the transition to the MapR platform.\xa0</p> <p> </p><p>As Business Reporting Analyst, you will also be responsible for the following duties:</p> <ul><li>Preparing and distributing standard performance reports and visualisations for Specsavers ANZ operations</li> <li>Collaborating with the IT department to ensure reporting capability continues to meet business needs through the controlled and planned development of existing and new databases</li> <li>Ensuring database content is complete and accurate with processes in place to load missing data and correct any errors</li> <li>Continually improving the efficiency of the distribution of performance information to the wider business through the adoption of new technologies and the development of team capability</li> </ul><p> </p><p><strong>About You</strong><br> Reporting to the Business Reporting Manager, you will possess the following experience and skills:</p> <ul><li>Technical understanding of databases</li> <li>Advanced MySQL/SQL understanding, with exposure to MapR advantageous but not essential</li> <li>Exposure to Tableau is advantageous but not a necessity\xa0</li> <li>Strong written and verbal communication skills, presentation skills and stakeholder management skills</li> <li>A strong team player and leader, with the ability to guide peers and team members</li> </ul><p> </p><p>Here at Specsavers, we support flexible working wherever possible to assist our people in achieving a balance between their work and personal life. We aim to provide flexibility in where, how and when we work.</p> <p> </p><p>We are well-known for valuing our people and not only offer competitive reward and benefits but also ongoing development and training. We support creative minds and recognise hard work. If this sounds like you, why wait? Submit your application today!</p> \xa0<p>\n\n</p></div>']"
['Financial Crime Investigations Analyst'],['NAB'],['Melbourne'],['Competitive Package and Attractive Benefits!'],"['<div data-automation=""mobileTemplate"" class=""_2e4Pi2B""><ul>\n<li>Be part of NAB’s Financial Crime Operations exciting transformation!</li>\n<li>Opportunity to develop essential skills and knowledge to progress your career within Financial Crime Prevention.</li>\n<li>Variety of opportunities on offer across Melbourne’s CBD!</li>\n</ul>\n<p><strong>Take on a role that’s about more than money</strong></p>\n<p>From human trafficking to child labour and terrorism, the cost of financial crime is real. It\'s a global issue with about $2 trillion worth of illicit funding moving through our financial system each year, with less than one percent being seized by authorities.</p>\n<p>This isn\'t just about meeting our regulatory obligations - it\'s about playing our role to protect our community by fighting financial crime.</p>\n<p><strong>Our customers are at the heart of what we do</strong></p>\n<p>NAB’s Financial Crime Operations (FCO) Team are currently undergoing an exciting period of innovation and change to establish a Financial Crime Centre of Excellence.</p>\n<p>The FCO division is responsible for creating world-class financial crime monitoring and surveillance programs to protect NAB’s customers from financial disadvantage whilst at the same time ensuring the safety of our organisation.</p>\n<p><strong>What could I be doing?</strong></p>\n<ul>\n<li>Identification of any suspicious or unusual customer activity.</li>\n<li>Analysis of customer transactional activity</li>\n<li>Contacting NAB Customers to ensure all Know Your Customer (KYC) obligations are met and referring adverse findings where necessary.</li>\n<li>Analysing alerts regarding Anti Bribery and Corruption</li>\n<li>Performing Transaction Sanctions and Customer Screening.</li>\n</ul>\n<p><strong>To be successful in this role</strong></p>\n<ul>\n<li>Enthusiasm to learn and interest in Financial Crime Operations</li>\n<li>Good communication and engagement skills</li>\n<li>Strong problem solving and resolution skills</li>\n<li>Solid business acumen</li>\n<li>Be goal orientated and have a willingness to go the extra mile</li>\n<li>Strong Mathematical Ability and excellent Data Analysis Skills</li>\n<li>Criminology education or experience is not essential but is highly regarded</li>\n</ul>\n<p>In return for your hard work and outstanding commitment, we offer you an attractive salary package with countless benefits and great career development opportunities</p>\n<p>To find out how a career at NAB can do more for you - apply today</p>\n<p>To be eligible to apply, you must have Australian or New Zealand citizenship or permanent residency status.</p>\n<p>\xa0</p></div>']"
['Revenue Analyst'],['Aequalis Consulting'],['Melbourne'],"['$80,000 - $89,999 plus super']","['<div data-automation=""mobileTemplate"" class=""_2e4Pi2B""><ul> <li>Amazing Office / Fantastic Culture</li> <li>Based in the City</li> <li>$80 - $90K</li></ul> <p>This global advertising and public relations agency is the name behind some of the world’s best brands.\xa0 A phenomenal success story, both locally and in the international marketplace, this dynamic and innovative company have created some of the best known and most iconic advertising campaigns of the last century.\xa0 Being the best means hiring the best and due to exceptional results we are now looking for an ambitious Revenue Analyst to join this exceptional business.</p> <p>Working closely with the business you will support\xa0 Accountant Directors and the Financial Planning Director with the annual and quarterly rolling budget , forecast and planning.\xa0 You will develop management reporting systems, providing full commercial support to the operations teams.\xa0 You will be dealing with a wide range of internal clients from creative account managers to the executive committee, there is plenty of diversity and responsibility.\xa0 You will be playing a large role in the direction of the company as you promote good analytical financial awareness.</p> <p>We need a fast learner with at least 3 years of management accounting or analytical experience, experience with Business Intelligence Tools would be advantageous (SAP / Hyperion a distinct advantage).\xa0\xa0 Working with the business it is essential you have first class communication skills and the ability to take initiative .</p> <p>This is a superb opportunity for the right person to take the next step towards becoming a finance manager.\xa0 To find out more please forward your resume to <a class=""Ne1m3o8"" data-contact-match=""true"" href=""mailto:resumes@aequalisconsulting.com.au"">resumes@aequalisconsulting.com.au</a></p> <p>\xa0</p></div>']"
['Office Assistant/Data entry'],['Advanced Sheet Metal'],['Melbourne'],[],"['<div data-automation=""mobileTemplate"" class=""_2e4Pi2B""><p><strong>About the business and the role</strong></p> <p> </p><p>Advanced Sheet Metal is one of the leading providers of roofing and ventilation products, rainwater\xa0and general sheet metal goods. We need an office assistant who can perform a range of administrative tasks to join our team. Hours are approx 9:30- 3:00\xa0over 3 days a week.\xa0 (15 to 20\xa0hours per week)</p> <p> </p><p><strong>Job tasks and responsibilities</strong></p> <p></p><ul><li>Data entry</li><li>Entering orders</li><li>Customer service/phone</li><li>Preparing invoices</li><li>Basic office duties</li></ul> <p> </p><p><strong>Skills and experience</strong></p> <p></p><ul><li>Experience in a similar role.</li><li>Experience with MYOB or similar.</li><li>Moderate skills in Excel and Word</li><li>Excellent interpersonal skills</li></ul> <p> </p><p><strong>To apply</strong></p> <p> </p><p>Please apply below stating work history, experience and\xa0 any qualifications.\xa0 \xa0A commensurate hourly rate will be offered.</p> <p></p></div>']"
